NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
31.4,6.6,49.0,,,74.1,24.0
31.9,6.9,17.0,,,62.4,14.0
28.4,6.9,31.0,147.0,32.0,63.0,14.0
30.5,7.1,11.0,130.0,11.0,64.1,20.0
30.3,6.9,13.0,104.0,12.0,77.8,14.0
28.4,6.8,26.0,249.0,24.0,54.6,18.0
28.7,6.7,18.0,141.0,15.0,111.4,18.0
,7.0,22.0,,,115.8,18.0
,7.0,12.0,,,69.8,20.0
29.6,6.6,20.0,,,69.5,18.0
28.5,6.9,16.0,160.0,,59.2,16.0
28.7,6.9,82.0,,,68.2,28.0
,6.8,30.0,,,61.2,14.0
30.1,6.7,58.0,,,65.9,22.4
30.7,7.1,8.0,,,59.5,18.0
30.5,6.9,15.0,,,66.2,14.0
29.4,7.0,12.0,73.0,20.0,61.0,20.0
28.8,7.0,56.0,,,56.5,20.0
30.9,7.0,15.0,,,63.5,18.0
28.8,6.9,58.0,514.0,42.0,65.9,24.0
29.0,7.0,56.0,,,65.4,22.4
32.5,7.0,10.0,,,61.4,18.0
31.4,6.7,26.0,,,61.5,22.0
30.2,6.8,56.0,,,51.4,18.0
29.5,6.9,23.0,230.0,15.0,60.0,18.0
31.6,6.8,43.0,,,94.0,30.0
30.5,7.1,10.0,58.0,15.0,61.6,18.0
28.6,6.8,57.0,614.0,57.0,0.0,18.0
30.3,7.0,12.0,,,73.0,16.0
28.7,7.1,33.0,211.0,33.0,49.8,18.0
,6.8,38.0,315.0,26.0,53.5,18.0
28.0,7.0,10.0,72.0,7.0,68.8,16.0
29.6,6.8,74.0,670.0,62.0,52.3,20.0
31.3,6.9,16.0,,,65.3,20.0
28.8,6.9,103.0,910.0,76.0,63.5,25.6
28.6,6.8,43.0,431.0,41.0,62.7,20.0
29.0,6.6,18.0,119.0,4.0,64.1,16.0
30.4,6.9,51.0,456.0,52.0,70.8,28.0
31.0,6.9,18.0,153.0,13.0,76.1,22.4
30.5,6.9,41.0,225.0,22.0,73.0,20.0
29.2,6.8,58.0,,,60.8,25.6
29.2,7.0,10.0,92.0,11.0,59.1,18.0
29.0,6.8,14.0,,,66.7,16.0
30.5,7.1,13.0,99.0,9.0,57.8,18.0
30.6,6.9,33.0,,,64.5,22.0
31.9,6.9,33.0,,,65.5,19.2
28.9,6.7,113.0,1056.0,85.0,49.8,24.0
28.5,6.9,50.0,470.0,41.0,50.4,22.0
29.4,6.9,18.0,,,60.0,20.0
28.7,7.0,14.0,,,66.2,16.0
27.5,6.9,20.0,217.0,20.0,72.0,20.0
28.0,7.0,30.0,,,61.8,16.0
31.0,6.9,43.0,,,76.4,24.0
29.1,6.9,19.0,,,62.9,14.0
29.6,6.8,30.0,,,55.4,14.0
29.2,6.9,44.0,391.0,33.0,67.1,22.4
30.0,7.1,17.0,,,62.2,18.0
31.0,6.9,15.0,,,54.0,16.0
,6.8,12.0,,,57.3,16.0
28.6,7.0,10.0,73.0,6.0,63.8,16.0
27.8,6.9,14.0,77.0,20.0,62.8,16.0
30.0,6.9,22.0,,,238.0,18.0
33.2,7.1,10.0,,,61.7,18.0
28.7,6.9,79.0,,,57.8,22.0
30.8,6.7,38.0,,,91.2,30.0
28.7,7.1,84.0,474.0,75.0,47.9,18.0
28.5,7.0,16.0,89.0,26.0,67.2,14.0
29.6,6.7,55.0,430.0,,74.7,28.0
29.8,6.9,23.0,218.0,15.0,57.8,18.0
30.3,7.2,17.0,128.0,,66.0,18.0
29.9,6.8,39.0,,,51.8,16.0
,6.9,46.0,371.0,29.0,66.4,19.2
31.0,6.7,31.0,,,80.7,26.0
31.8,6.7,27.0,272.0,25.0,75.9,18.0
31.1,6.7,16.0,,,64.4,20.0
30.0,6.9,14.0,110.0,11.0,79.4,16.0
28.0,6.9,106.0,1146.0,,47.5,30.0
,,92.0,,,53.7,26.0
29.0,6.9,68.0,,,54.0,18.0
,6.9,13.0,,,63.5,16.0
,7.0,10.0,,,86.7,22.0
30.0,6.7,42.0,,,67.7,26.0
31.8,7.0,20.0,,,175.0,24.0
29.1,6.9,21.0,,,66.5,14.0
29.2,7.0,17.0,160.0,13.0,59.4,16.0
29.9,7.2,8.0,,,60.4,8.0
30.4,6.9,13.0,118.0,,66.9,20.0
30.3,6.9,14.0,153.0,15.0,76.2,20.0
31.6,6.8,26.0,236.0,26.0,61.1,16.0
27.6,7.0,61.0,,,53.0,24.0
28.7,7.0,17.0,126.0,10.0,85.4,19.2
29.4,6.8,49.0,421.0,37.0,55.3,20.0
31.5,7.0,9.0,90.0,,58.8,16.0
31.9,6.9,10.0,,,64.1,16.0
29.3,7.0,17.0,171.0,14.0,53.1,12.0
,6.7,26.0,,,51.0,16.0
30.5,7.0,12.0,70.0,18.0,65.0,20.0
31.5,7.0,10.0,82.0,8.0,65.6,19.2
28.2,6.8,78.0,,,70.7,28.0
30.1,7.0,28.0,,,65.4,19.2
29.5,6.9,11.0,72.0,6.0,70.6,18.0
28.5,7.0,57.0,496.0,43.0,57.8,25.6
31.7,6.8,9.0,74.0,9.0,63.4,8.0
29.2,6.9,26.0,,,57.2,22.0
31.5,7.1,15.0,132.0,,61.7,20.0
31.6,6.8,12.0,,,67.1,19.2
28.0,7.0,17.0,170.0,16.0,127.0,24.0
28.1,6.9,43.0,388.0,33.0,59.0,20.0
30.8,6.9,43.0,,,63.8,19.2
29.1,6.8,11.0,,,63.0,14.0
30.3,6.8,30.0,,,80.4,28.0
30.8,6.7,27.0,220.0,,78.5,28.0
31.0,7.0,32.0,,,218.0,18.0
29.6,6.9,20.0,178.0,20.0,84.8,18.0
28.7,6.8,22.0,165.0,,103.2,18.0
28.0,7.0,44.0,436.0,,49.8,16.0
30.5,6.8,46.0,,,66.6,19.2
31.0,6.8,35.0,,,56.5,20.0
29.2,6.9,54.0,,,76.1,28.0
29.6,7.0,8.0,90.0,11.0,65.2,18.0
29.0,6.9,22.0,192.0,21.0,71.5,22.0
29.0,6.8,10.0,96.0,9.0,69.7,6.0
30.4,6.7,17.0,,,64.0,20.0
,6.8,39.0,,,70.2,22.0
29.4,7.0,14.0,,,60.9,14.0
29.5,6.8,15.0,,,69.6,16.0
,6.7,23.0,,,67.1,18.0
,6.7,20.0,,,76.6,20.0
29.3,6.6,20.0,,,63.7,20.0
30.2,7.0,19.0,183.0,15.0,68.9,24.0
30.1,7.0,13.0,,,60.5,14.0
31.0,7.1,11.0,108.0,13.0,71.5,22.0
30.2,6.9,18.0,173.0,15.0,63.6,16.0
,6.9,23.0,,,65.5,22.4
,6.7,132.0,1269.0,101.0,63.0,28.0
30.9,6.9,21.0,188.0,,67.4,22.0
,6.8,89.0,,,65.9,22.0
29.6,6.9,59.0,492.0,41.0,70.5,25.6
,7.0,14.0,,,63.5,20.0
29.0,6.8,21.0,213.0,16.0,67.4,18.0
30.0,7.2,36.0,,,81.5,18.0
27.9,6.8,14.0,,,65.6,16.0
32.4,6.8,12.0,,,66.7,16.0
,6.9,36.0,336.0,28.0,51.3,20.0
28.1,7.0,10.0,62.0,18.0,64.9,14.0
27.3,7.0,46.0,440.0,,51.4,16.0
27.9,6.9,26.0,,,57.9,18.0
,7.1,21.0,,,133.4,18.0
30.6,6.8,32.0,340.0,,62.6,22.0
30.8,6.9,18.0,,,69.2,20.0
29.5,6.7,92.0,,,50.9,22.0
28.8,6.9,54.0,483.0,39.0,63.6,22.4
30.2,6.8,58.0,,,71.5,32.0
,,16.0,,,64.5,20.0
28.3,6.8,128.0,1134.0,99.0,46.5,24.0
28.9,6.8,124.0,1140.0,94.0,53.8,24.0
29.6,6.9,41.0,,,71.6,25.6
,7.0,91.0,,,55.2,22.0
,7.0,19.0,,,63.0,22.0
,6.9,75.0,804.0,,60.2,20.0
,6.9,27.0,,,167.4,18.0
30.5,6.8,59.0,,,66.3,26.0
30.7,7.0,17.0,,,67.2,22.0
,6.6,20.0,,,65.2,20.0
29.8,7.2,20.0,,,59.6,22.0
27.6,7.0,10.0,53.0,13.0,63.9,14.0
29.5,6.6,60.0,,,63.6,22.0
29.2,6.8,13.0,,,61.7,16.0
,6.9,60.0,474.0,,64.8,26.0
28.6,6.7,49.0,418.0,35.0,49.0,18.0
27.9,6.9,10.0,98.0,10.0,65.7,16.0
30.7,7.0,35.0,255.0,15.0,56.3,18.0
28.1,7.0,13.0,97.0,9.0,67.2,16.0
28.9,6.9,57.0,524.0,45.0,52.0,20.0
31.1,7.1,14.0,,,96.4,20.0
29.1,6.7,113.0,,,62.9,26.0
31.5,7.1,10.0,,,61.3,18.0
31.1,6.8,62.0,522.0,60.0,66.9,25.6
29.8,6.8,15.0,133.0,14.0,68.2,18.0
29.4,6.7,39.0,,,71.9,19.2
30.2,6.7,26.0,211.0,20.0,72.7,22.4
28.9,6.8,81.0,,,58.5,22.0
,6.9,17.0,184.0,14.0,64.8,16.0
29.0,6.9,61.0,505.0,44.0,66.5,24.0
29.8,6.8,25.0,,,62.5,18.0
30.0,6.9,42.0,,,154.0,24.0
28.4,6.8,13.0,112.0,10.0,122.5,16.0
29.1,6.8,29.0,287.0,25.0,59.9,16.0
31.4,6.8,17.0,,,117.0,26.0
28.0,6.8,79.0,,,71.0,28.0
,7.1,24.0,,,266.5,22.0
27.6,7.0,27.0,129.0,29.0,62.9,16.0
29.6,7.1,10.0,,,66.3,16.0
27.5,6.7,142.0,1254.0,101.0,54.8,26.0
31.0,6.9,39.0,,,112.0,26.0
29.0,6.8,12.0,,,77.8,16.0
31.1,7.0,24.0,,,67.5,22.0
30.8,6.7,31.0,179.0,16.0,62.1,18.0
29.6,6.9,16.0,155.0,15.0,65.1,18.0
29.8,6.8,68.0,,,70.9,24.0
30.0,6.8,36.0,201.0,15.0,64.7,22.0
29.7,7.0,38.0,245.0,28.0,57.1,20.0
32.4,6.8,17.0,162.0,16.0,56.6,16.0
29.2,6.8,37.0,,,55.6,18.0
29.6,6.7,148.0,1476.0,114.0,72.3,34.0
30.0,6.8,74.0,,,57.6,22.0
,6.9,44.0,,,63.2,20.0
,7.0,36.0,,,58.2,20.0
31.7,6.9,9.0,75.0,11.0,64.1,16.0
28.3,6.8,63.0,590.0,47.0,54.0,20.0
32.1,6.6,31.0,,,65.2,26.0
29.5,6.7,76.0,,,51.2,22.0
,6.9,16.0,,,102.6,22.0
31.4,6.8,25.0,212.0,20.0,68.7,19.2
31.3,6.9,20.0,,,63.2,18.0
29.1,6.9,20.0,,,66.7,18.0
31.2,6.9,43.0,293.0,,143.6,24.0
30.5,6.9,35.0,309.0,27.0,69.2,24.0
30.7,6.8,24.0,200.0,,63.0,22.0
29.3,6.9,14.0,,,62.0,20.0
30.0,7.2,14.0,,,60.0,8.0
30.3,7.1,21.0,,,154.9,18.0
29.9,7.0,13.0,110.0,4.0,63.3,22.0
29.0,6.9,18.0,,,68.3,14.0
31.3,6.7,43.0,,,68.3,20.0
31.1,7.0,9.0,,,64.3,20.0
28.9,6.8,57.0,574.0,52.0,55.8,20.0
28.9,6.9,23.0,,,64.5,20.0
,6.8,33.0,,,60.0,18.0
30.3,6.9,16.0,132.0,14.0,66.0,18.0
28.4,6.9,53.0,469.0,40.0,50.6,22.0
30.0,6.8,42.0,417.0,41.0,63.0,18.0
31.3,7.1,9.0,,,68.5,14.0
31.6,6.9,10.0,,,63.0,16.0
29.4,7.0,19.0,,,68.3,22.0
28.7,6.9,68.0,,,67.0,25.6
29.8,6.9,46.0,,,59.0,20.0
29.4,6.8,24.0,224.0,,60.5,22.0
31.1,7.1,16.0,156.0,16.0,66.6,20.0
30.5,6.7,16.0,,,64.8,22.0
29.9,6.9,30.0,,,70.0,22.4
29.5,6.9,78.0,,,62.1,22.4
29.2,6.9,51.0,,,53.2,22.0
27.1,6.9,22.0,170.0,,58.8,18.0
27.8,6.9,23.0,225.0,20.0,66.5,22.0
30.2,6.7,20.0,,,82.1,19.2
30.1,6.7,58.0,,,67.7,22.4
29.3,6.9,25.0,,,56.0,20.0
31.0,7.0,13.0,,,64.0,20.0
28.5,6.7,40.0,320.0,28.0,65.0,18.0
30.6,7.1,15.0,,,100.0,20.0
30.3,6.7,23.0,144.0,6.0,74.6,20.0
29.8,7.1,13.0,,,60.2,18.0
28.6,6.8,102.0,858.0,76.0,48.8,24.0
31.5,6.9,18.0,,,215.8,22.0
28.8,7.0,12.0,109.0,9.0,84.1,28.8
30.4,6.9,20.0,150.0,7.0,63.5,22.0
29.4,6.8,24.0,243.0,20.0,53.4,18.0
30.6,6.7,36.0,300.0,,73.3,22.0
29.5,6.9,40.0,,,50.4,20.0
28.3,6.9,13.0,125.0,,59.6,16.0
29.0,6.9,77.0,,,51.7,20.0
28.2,6.9,85.0,,,56.1,20.0
29.7,6.6,18.0,,,65.0,20.0
31.3,7.0,14.0,,,70.0,20.0
27.4,6.6,80.0,,,65.7,32.0
29.2,6.9,39.0,,,63.7,20.0
,7.3,8.0,,,59.7,8.0
31.1,6.6,39.0,359.0,35.0,66.0,20.0
28.7,7.0,52.0,548.0,48.0,54.0,20.0
29.1,7.0,20.0,,,76.0,18.0
32.0,6.8,18.0,,,66.8,20.0
28.5,6.8,101.0,828.0,75.0,62.2,30.0
29.8,6.8,24.0,232.0,25.0,,14.0
30.5,6.7,39.0,,,64.4,20.0
30.2,6.9,15.0,142.0,14.0,70.1,20.0
30.0,7.0,39.0,,,68.7,25.6
29.0,6.8,75.0,,,51.7,24.0
29.0,6.7,13.0,,,63.4,14.0
30.5,6.8,45.0,407.0,34.0,76.6,28.0
31.2,7.1,29.0,,,122.0,22.0
31.3,6.7,47.0,,,78.0,26.0
29.9,7.1,15.0,163.0,16.0,61.0,20.0
28.9,6.9,65.0,568.0,48.0,75.0,26.0
30.5,6.9,35.0,289.0,,58.8,20.0
28.7,6.8,29.0,269.0,23.0,63.8,18.0
28.5,6.7,228.0,1956.0,170.0,59.3,28.0
29.5,6.9,16.0,,,64.0,18.0
28.5,6.9,18.0,160.0,,65.0,16.0
,,131.0,1116.0,102.0,66.5,28.8
29.8,6.6,62.0,,,62.0,22.0
32.4,7.1,16.0,,,60.7,18.0
30.6,7.0,11.0,,,61.1,18.0
30.4,6.9,24.0,,,67.3,20.0
29.3,6.8,53.0,,,59.8,20.0
29.1,7.0,45.0,260.0,40.0,56.1,20.0
29.9,6.8,94.0,856.0,71.0,62.0,28.0
,6.9,25.0,,,60.5,20.0
29.5,6.7,39.0,392.0,31.0,64.6,22.0
29.2,6.9,52.0,348.0,57.0,52.7,20.0
30.1,7.0,14.0,135.0,,57.4,18.0
29.9,6.9,57.0,,,64.1,26.0
28.0,6.8,25.0,244.0,22.0,68.0,22.0
28.6,7.1,101.0,,,53.8,24.0
,6.9,35.0,,,64.0,20.0
30.7,6.7,37.0,,,64.1,20.0
29.6,6.9,83.0,485.0,69.0,51.5,20.0
31.3,6.7,10.0,,,64.1,8.0
29.7,6.6,80.0,782.0,60.0,59.1,24.0
28.4,6.9,28.0,232.0,26.0,62.0,20.0
31.7,6.8,14.0,,,64.1,18.0
31.0,6.8,26.0,,,65.0,14.0
29.1,6.8,28.0,251.0,21.0,78.9,22.0
28.1,6.7,49.0,425.0,36.0,49.5,18.0
27.5,6.8,104.0,916.0,76.0,57.3,28.0
26.7,7.0,20.0,97.0,19.0,63.1,12.0
28.3,7.0,45.0,,,54.0,20.0
28.6,6.9,63.0,,,51.8,18.0
29.8,6.8,25.0,220.0,18.0,50.3,14.0
29.3,7.0,17.0,150.0,,62.3,16.0
29.5,7.0,12.0,,,56.8,14.0
30.0,6.6,26.0,127.0,9.0,66.3,20.0
28.3,7.0,79.0,700.0,62.0,54.1,24.0
30.4,6.9,31.0,294.0,27.0,73.5,26.0
29.2,6.6,97.0,794.0,74.0,70.3,28.0
29.7,7.0,21.0,222.0,20.0,52.2,16.0
29.6,6.6,23.0,,,64.0,18.0
29.8,6.6,17.0,,,67.6,20.0
30.8,6.8,46.0,,,63.5,22.0
28.9,6.9,17.0,111.0,25.0,61.5,14.0
30.1,6.9,19.0,122.0,26.0,70.1,24.0
30.5,6.9,30.0,,,52.8,16.0
28.9,6.8,62.0,,,65.4,24.0
29.1,6.9,57.0,,,51.6,18.0
28.6,6.8,15.0,,,64.2,18.0
29.5,6.9,52.0,453.0,40.0,70.0,32.0
29.0,6.8,67.0,,,57.5,22.0
31.2,6.6,33.0,,,74.0,10.0
29.8,6.8,14.0,,,64.7,18.0
,6.8,45.0,433.0,37.0,71.4,26.0
28.3,7.0,40.0,390.0,,47.7,16.0
28.5,7.0,64.0,560.0,,51.5,20.0
30.2,6.7,43.0,389.0,26.0,62.1,22.0
30.0,7.0,26.0,231.0,26.0,64.2,20.0
29.2,6.7,20.0,188.0,18.0,63.3,6.0
29.5,6.7,60.0,500.0,42.0,89.0,30.0
28.3,7.0,27.0,239.0,27.0,77.0,22.0
29.3,7.0,18.0,180.0,,63.3,18.0
30.0,6.9,39.0,,,63.8,24.0
29.8,6.7,16.0,165.0,13.0,67.8,22.0
29.8,7.0,25.0,,,60.6,20.0
30.3,7.3,12.0,,,60.0,8.0
30.2,7.0,23.0,214.0,19.0,85.6,20.0
,6.8,103.0,,,65.9,28.0
,6.9,10.0,107.0,,68.5,20.0
29.2,7.1,11.0,,,60.8,16.0
29.6,6.8,17.0,148.0,14.0,61.7,14.0
31.2,6.7,38.0,,,85.6,28.0
31.2,7.1,10.0,,,61.2,18.0
31.7,7.0,11.0,,,64.9,18.0
29.8,7.0,16.0,150.0,,58.8,18.0
28.3,6.8,134.0,,,56.9,28.0
28.5,6.9,94.0,945.0,,50.1,22.0
33.2,6.9,8.0,,,67.2,18.0
31.1,6.7,47.0,,,77.6,24.0
30.3,7.1,15.0,112.0,12.0,59.6,14.0
29.7,6.5,13.0,,,67.4,20.0
28.8,6.8,39.0,,,50.8,18.0
31.2,6.8,33.0,,,92.9,30.0
28.7,6.9,90.0,,,54.0,20.0
30.2,6.8,20.0,,,123.0,22.0
32.3,7.1,8.0,,,63.3,18.0
29.2,6.9,41.0,415.0,40.0,57.9,22.0
30.1,6.9,53.0,,,57.9,20.0
28.3,6.9,28.0,278.0,23.0,0.0,16.0
30.2,6.7,71.0,,,58.9,24.0
31.3,6.9,28.0,,,81.8,24.0
28.3,6.6,185.0,1524.0,142.0,45.4,30.0
30.1,6.9,53.0,,,62.5,22.4
30.0,6.9,42.0,,,56.7,18.0
30.5,7.0,13.0,114.0,12.0,64.8,18.0
29.6,7.3,22.0,,,61.1,8.0
29.2,6.8,123.0,,,65.0,28.0
28.8,7.0,54.0,,,51.3,20.0
27.7,6.8,22.0,210.0,18.0,65.5,16.0
29.6,6.8,92.0,,,52.4,24.0
31.8,6.8,11.0,,,63.5,8.0
30.4,6.8,38.0,,,54.4,16.0
28.5,6.9,17.0,139.0,13.0,69.0,14.0
28.9,6.9,13.0,119.0,12.0,61.2,16.0
,7.1,9.0,,,63.1,20.0
30.6,6.7,53.0,,,48.3,20.0
29.1,6.9,52.0,,,69.6,26.0
28.9,6.9,12.0,,,63.5,6.0
31.3,7.0,11.0,124.0,13.0,60.2,16.0
29.1,6.8,14.0,131.0,14.0,63.6,8.0
30.5,6.9,28.0,287.0,27.0,72.3,22.0
32.3,7.0,12.0,,,63.8,19.2
,7.0,14.0,,,97.3,20.0
31.5,6.8,19.0,,,88.0,22.4
28.5,7.0,60.0,,,49.9,18.0
,7.0,27.0,211.0,,62.1,18.0
29.7,6.7,23.0,,,74.8,25.6
31.9,7.2,19.0,,,65.5,20.0
31.8,7.1,27.0,,,74.3,24.0
29.4,7.0,13.0,97.0,3.0,64.0,20.0
29.2,6.8,17.0,158.0,15.0,56.4,12.0
27.8,6.6,180.0,,,44.7,26.0
,7.0,19.0,198.0,18.0,68.0,20.0
29.0,7.2,8.0,,,66.0,14.0
30.7,6.7,18.0,,,66.2,22.0
29.0,6.9,67.0,652.0,48.0,62.0,24.0
29.4,6.9,41.0,338.0,28.0,76.4,19.2
30.4,7.0,15.0,,,59.1,20.0
28.0,6.9,27.0,,,49.8,16.0
30.0,7.0,17.0,,,58.5,16.0
28.4,6.8,77.0,684.0,56.0,61.0,26.0
29.9,7.0,14.0,135.0,,54.2,18.0
30.2,7.1,17.0,,,59.1,18.0
29.1,6.9,27.0,,,58.0,16.0
31.6,7.0,11.0,,,64.8,18.0
29.7,6.6,24.0,135.0,10.0,71.6,18.0
,6.9,62.0,368.0,32.0,59.3,22.0
29.2,6.8,67.0,400.0,54.0,51.5,20.0
31.6,6.6,25.0,,,60.1,22.0
29.4,7.1,15.0,,,60.0,16.0
30.2,6.9,75.0,624.0,56.0,61.0,20.0
27.7,6.8,72.0,658.0,56.0,60.0,26.0
30.0,6.9,47.0,,,58.0,22.0
30.9,7.0,9.0,,,60.9,20.0
31.0,7.0,18.0,126.0,18.0,66.3,20.0
31.2,7.1,13.0,,,60.0,20.0
29.7,7.0,56.0,,,70.5,25.6
31.6,7.0,15.0,,,62.0,22.0
30.0,6.8,55.0,479.0,45.0,62.4,18.0
,6.9,26.0,,,64.0,18.0
29.5,7.2,13.0,,,59.2,20.0
29.7,6.8,49.0,481.0,40.0,59.8,22.0
28.1,6.8,94.0,,,64.0,28.0
28.4,6.8,23.0,234.0,23.0,69.0,20.0
29.0,6.9,87.0,714.0,62.0,70.5,28.8
30.0,6.8,22.0,,,68.6,20.0
29.9,6.7,21.0,,,74.7,24.0
,7.0,11.0,109.0,9.0,58.4,8.0
28.6,6.9,24.0,,,63.2,16.0
28.3,7.0,37.0,308.0,23.0,58.6,20.0
28.5,7.0,52.0,440.0,,55.0,18.0
,6.8,14.0,,,68.5,18.0
31.7,6.9,16.0,,,61.3,18.0
30.3,7.0,13.0,120.0,,57.9,18.0
29.7,6.9,12.0,,,70.6,19.2
29.4,6.9,19.0,,,60.4,18.0
29.5,6.9,61.0,,,57.3,20.0
29.0,6.6,16.0,106.0,7.0,66.3,18.0
28.9,6.9,64.0,396.0,52.0,51.2,18.0
28.7,6.6,102.0,,,52.7,22.0
27.7,6.8,22.0,190.0,,64.8,16.0
,7.1,18.0,,,59.0,8.0
30.9,7.0,12.0,,,63.3,16.0
29.4,6.9,23.0,,,78.7,19.2
30.9,6.9,35.0,330.0,38.0,70.0,28.0
30.5,7.2,23.0,,,59.6,18.0
28.4,6.8,13.0,114.0,11.0,63.5,6.0
29.5,6.9,45.0,411.0,36.0,68.0,24.0
31.4,6.8,46.0,350.0,35.0,70.4,22.4
,6.8,50.0,426.0,40.0,77.7,19.2
,7.0,15.0,,,194.6,18.0
30.5,6.8,56.0,584.0,39.0,61.0,26.0
29.0,6.5,23.0,137.0,14.0,62.5,18.0
31.4,6.9,17.0,165.0,,58.8,20.0
31.9,6.9,10.0,,,65.0,19.2
30.0,6.9,31.0,,,69.9,20.0
,6.9,57.0,,,57.0,20.0
,7.0,9.0,,,58.9,18.0
30.1,7.1,15.0,,,75.0,16.0
28.6,6.8,19.0,173.0,15.0,62.7,14.0
29.9,6.7,52.0,430.0,,72.0,26.0
28.4,7.0,54.0,,,57.0,18.0
30.4,6.9,15.0,,,61.2,18.0
,7.0,18.0,,,61.5,20.0
31.1,6.9,46.0,,,59.3,20.0
,7.1,28.0,,,281.0,18.0
28.0,6.9,14.0,,,62.4,16.0
29.2,6.9,48.0,413.0,37.0,73.7,28.0
29.4,6.7,92.0,,,55.5,25.6
28.5,6.9,37.0,,,51.1,18.0
28.9,7.0,49.0,,,52.2,20.0
29.8,6.9,92.0,,,65.2,32.0
29.2,6.9,61.0,,,72.0,32.0
30.3,6.7,67.0,480.0,,80.0,30.0
27.4,7.0,24.0,218.0,24.0,78.0,24.0
29.8,6.9,51.0,,,63.0,22.4
29.4,6.8,24.0,,,55.4,14.0
32.2,7.1,7.0,,,62.1,18.0
29.4,6.7,15.0,,,74.0,16.0
29.8,6.9,42.0,256.0,17.0,57.7,20.0
29.5,6.8,42.0,,,66.2,22.0
30.3,7.1,8.0,46.0,12.0,60.3,18.0
28.4,6.8,30.0,,,51.6,16.0
28.9,6.9,77.0,722.0,57.0,67.3,26.0
30.2,6.8,24.0,146.0,32.0,68.0,20.0
30.9,6.8,35.0,,,61.5,18.0
29.4,7.1,13.0,80.0,9.0,59.2,14.0
31.0,6.8,21.0,,,71.3,22.0
30.1,6.8,16.0,,,61.5,14.0
,6.8,61.0,422.0,60.0,55.6,16.0
30.6,6.9,17.0,174.0,16.0,67.7,22.4
28.7,6.5,15.0,101.0,5.0,58.2,16.0
29.4,6.9,14.0,,,68.7,19.2
31.5,6.6,30.0,331.0,31.0,73.7,24.0
28.9,6.9,49.0,432.0,38.0,49.3,22.0
